"id","tag_id","tag_name","tag_description","value_representation"
610,"(0018,1042)","ContrastBolusStartTime","Contrast/Bolus Start Time","TM"
611,"(0018,1043)","ContrastBolusStopTime","Contrast/Bolus Stop Time","TM"
612,"(0018,1044)","ContrastBolusTotalDose","Contrast/Bolus Total Dose","DS"
613,"(0018,9341)","ContrastBolusUsageSequence","Contrast/Bolus Usage Sequence","SQ"
614,"(0018,1041)","ContrastBolusVolume","Contrast/Bolus Volume","DS"
615,"(0018,1047)","ContrastFlowDuration","Contrast Flow Duration","DS"
616,"(0018,1046)","ContrastFlowRate","Contrast Flow Rate","DS"
617,"(0028,6112)","ContrastFrameAveraging","Contrast Frame Averaging","US"
618,"(0018,A001)","ContributingEquipmentSequence","Contributing Equipment Sequence","SQ"
619,"(0020,9529)","ContributingSOPInstancesReferenceSequence","Contributing SOP Instances Reference Sequence","SQ"
620,"(0018,9506)","ContributingSourcesSequence","Contributing Sources Sequence","SQ"
621,"(0018,A002)","ContributionDateTime","Contribution DateTime","DT"
622,"(0018,A003)","ContributionDescription","Contribution Description","ST"
623,"(300A,02D4)","ControlPoint3DPosition","Control Point 3D Position","DS"
624,"(3008,0040)","ControlPointDeliverySequence","Control Point Delivery Sequence","SQ"
625,"(300A,0112)","ControlPointIndex","Control Point Index","IS"
626,"(300A,0412)","ControlPointOrientation","Control Point Orientation","FL"
627,"(300A,02D2)","ControlPointRelativePosition","Control Point Relative Position","DS"
628,"(300A,0111)","ControlPointSequence","Control Point Sequence","SQ"
629,"(0074,104C)","ConventionalControlPointVerificationSequence","Conventional Control Point Verification Sequence","SQ"
630,"(0074,1044)","ConventionalMachineVerificationSequence","Conventional Machine Verification Sequence","SQ"
631,"(0020,9172)","ConversionSourceAttributesSequence","Conversion Source Attributes Sequence","SQ"
632,"(0008,0064)","ConversionType","Conversion Type","CS"
633,"(0018,1210)","ConvolutionKernel","Convolution Kernel","SH"
634,"(0018,9316)","ConvolutionKernelGroup","Convolution Kernel Group","CS"
635,"(50xx,0112)","CoordinateStartValue","Coordinate Start Value","US"
636,"(50xx,0114)","CoordinateStepValue","Coordinate Step Value","US"
637,"(0014,2204)","CoordinateSystemAxesSequence","Coordinate System Axes Sequence","SQ"
638,"(0040,08DA)","CoordinateSystemAxisCodeSequence","Coordinate System Axis Code Sequence","SQ"
639,"(0014,2206)","CoordinateSystemAxisDescription","Coordinate System Axis Description","ST"
640,"(0014,220A)","CoordinateSystemAxisNumber","Coordinate System Axis Number","IS"
641,"(0014,220C)","CoordinateSystemAxisType","Coordinate System Axis Type","CS"
642,"(0014,220E)","CoordinateSystemAxisUnits","Coordinate System Axis Units","CS"
643,"(0014,2210)","CoordinateSystemAxisValues","Coordinate System Axis Values","OB"
644,"(0014,2208)","CoordinateSystemDataSetMapping","Coordinate System Data Set Mapping","CS"
645,"(0014,2202)","CoordinateSystemNumberOfAxes","Coordinate System Number of Axes","IS"
646,"(0014,222A)","CoordinateSystemTransformRotationAndScaleMatrix","Coordinate System Transform Rotation and Scale Matrix","DS"
647,"(0014,2220)","CoordinateSystemTransformSequence","Coordinate System Transform Sequence","SQ"
648,"(0014,222C)","CoordinateSystemTransformTranslationMatrix","Coordinate System Transform Translation Matrix","DS"
649,"(0040,A290)","CoordinatesSetGeometricTypeTrial","Coordinates Set Geometric Type (Trial)","CS"
650,"(0046,0234)","CornealEccentricityIndex","Corneal Eccentricity Index","FL"
651,"(0046,0224)","CornealISValue","Corneal I-S Value","FL"
652,"(0046,0248)","CornealPointEstimated","Corneal Point Estimated","CS"
653,"(0046,0247)","CornealPointLocation","Corneal Point Location","FL"
654,"(0046,0046)","CornealSize","Corneal Size","FD"
655,"(0046,0242)","CornealTopographyMapQualityEvaluation","Corneal Topography Map Quality Evaluation","CS"
656,"(0046,0207)","CornealTopographyMapTypeCodeSequence","Corneal Topography Map Type Code Sequence","SQ"
657,"(0046,0210)","CornealTopographyMappingNormalsSequence","Corneal Topography Mapping Normals Sequence","SQ"
658,"(0046,0201)","CornealTopographySurface","Corneal Topography Surface","CS"
659,"(0046,0202)","CornealVertexLocation","Corneal Vertex Location","FL"
660,"(0046,0253)","CornealWavefront","Corneal Wavefront","FL"
661,"(0028,0051)","CorrectedImage","Corrected Image","CS"
662,"(0024,0079)","CorrectedLocalizedDeviationFromNormal","Corrected Localized Deviation From Normal","FL"
663,"(0024,0078)","CorrectedLocalizedDeviationFromNormalCalculated","Corrected Localized Deviation From Normal Calculated","CS"
664,"(0024,0081)","CorrectedLocalizedDeviationFromNormalProbability","Corrected Localized Deviation From Normal Probability","FL"
665,"(0024,0080)","CorrectedLocalizedDeviationFromNormalProbabilityCalculated","Corrected Localized Deviation From Normal Probability Calculated","CS"
666,"(3008,0068)","CorrectedParameterSequence","Corrected Parameter Sequence","SQ"
667,"(3008,006A)","CorrectionValue","Correction Value","FL"
668,"(0018,9764)","CountLossNormalizationCorrected","Count Loss Normalization Corrected","CS"
669,"(0018,1243)","CountRate","Count Rate","IS"
670,"(0010,2150)","CountryOfResidence","Country of Residence","LO"
671,"(0018,0070)","CountsAccumulated","Counts Accumulated","IS"
672,"(0054,1400)","CountsIncluded","Counts Included","CS"
673,"(0054,1002)","CountsSource","Counts Source","CS"
674,"(0014,4056)","CouplingMedium","Coupling Medium","ST"
675,"(0014,4054)","CouplingTechnique","Coupling Technique","ST"
676,"(0014,4057)","CouplingVelocity","Coupling Velocity","DS"
677,"(0018,9094)","CoverageOfKSpace","Coverage of k-Space","CS"
678,"(0018,5026)","CranialThermalIndex","Cranial Thermal Index","DS"
679,"(2100,0040)","CreationDate","Creation Date","DA"
680,"(2100,0050)","CreationTime","Creation Time","TM"
681,"(0008,9123)","CreatorVersionUID","Creator-Version UID","UI"
682,"(300A,010C)","CumulativeDoseReferenceCoefficient","Cumulative Dose Reference Coefficient","DS"
683,"(3008,0052)","CumulativeDoseToDoseReference","Cumulative Dose to Dose Reference","DS"
684,"(300A,0134)","CumulativeMetersetWeight","Cumulative Meterset Weight","DS"
685,"(300A,02D6)","CumulativeTimeWeight","Cumulative Time Weight","DS"
686,"(3008,0022)","CurrentFractionNumber","Current Fraction Number","IS"
687,"(0040,A307)","CurrentObserverTrial","Current Observer (Trial)","PN"
688,"(0038,0300)","CurrentPatientLocation","Current Patient Location","LO"
689,"(0040,A375)","CurrentRequestedProcedureEvidenceSequence","Current Requested Procedure Evidence Sequence","SQ"
690,"(3008,0200)","CurrentTreatmentStatus","Current Treatment Status","CS"
691,"(0014,0052)","CurvatureType","Curvature Type","CS"
692,"(50xx,1001)","CurveActivationLayer","Curve Activation Layer","CS"
693,"(50xx,3000)","CurveData","Curve Data","OB or OW"
694,"(50xx,0110)","CurveDataDescriptor","Curve Data Descriptor","US"
695,"(0008,0025)","CurveDate","Curve Date","DA"
696,"(50xx,0022)","CurveDescription","Curve Description","LO"
697,"(50xx,0005)","CurveDimensions","Curve Dimensions","US"
698,"(50xx,2500)","CurveLabel","Curve Label","LO"
699,"(0020,0024)","CurveNumber","Curve Number","IS"
700,"(50xx,0106)","CurveRange","Curve Range","SH"
701,"(50xx,2610)","CurveReferencedOverlayGroup","Curve Referenced Overlay Group","US"
702,"(50xx,2600)","CurveReferencedOverlaySequence","Curve Referenced Overlay Sequence","SQ"
703,"(0008,0035)","CurveTime","Curve Time","TM"
704,"(0040,A07C)","CustodialOrganizationSequence","Custodial Organization Sequence","SQ"
705,"(0022,0009)","CylinderAxis","Cylinder Axis","FL"
706,"(0022,0008)","CylinderLensPower","Cylinder Lens Power","FL"
707,"(0046,0147)","CylinderPower","Cylinder Power","FD"
708,"(0046,0018)","CylinderSequence","Cylinder Sequence","SQ"
709,"(0014,403C)","DACAmplitude","DAC Amplitude","DS"
710,"(0014,4038)","DACGainPoints","DAC Gain Points","DS"
711,"(0014,4035)","DACSequence","DAC Sequence","SQ"
712,"(0014,403A)","DACTimePoints","DAC Time Points","DS"
713,"(0014,4036)","DACType","DAC Type","CS"
714,"(0028,0700)","DCTLabel","DCT Label","LO"
715,"(0040,E022)","DICOMMediaRetrievalSequence","DICOM Media Retrieval Sequence","SQ"
716,"(0040,E021)","DICOMRetrievalSequence","DICOM Retrieval Sequence","SQ"
717,"(4010,103A)","DICOSVersion","DICOS Version","CS"
718,"(3004,0058)","DVHData","DVH Data","DS"
719,"(3004,0052)","DVHDoseScaling","DVH Dose Scaling","DS"
720,"(3004,0072)","DVHMaximumDose","DVH Maximum Dose","DS"
721,"(3004,0074)","DVHMeanDose","DVH Mean Dose","DS"
722,"(3004,0070)","DVHMinimumDose","DVH Minimum Dose","DS"
723,"(3004,0042)","DVHNormalizationDoseValue","DVH Normalization Dose Value","DS"
724,"(3004,0040)","DVHNormalizationPoint","DVH Normalization Point","DS"
725,"(3004,0056)","DVHNumberOfBins","DVH Number of Bins","IS"
726,"(3004,0062)","DVHROIContributionType","DVH ROI Contribution Type","CS"
727,"(3004,0060)","DVHReferencedROISequence","DVH Referenced ROI Sequence","SQ"
728,"(3004,0050)","DVHSequence","DVH Sequence","SQ"
729,"(3004,0001)","DVHType","DVH Type","CS"
730,"(3004,0054)","DVHVolumeUnits","DVH Volume Units","CS"
731,"(0014,4028)","Damping","Damping","DS"
732,"(0014,3050)","DarkCurrentCounts","Dark Current Counts","OB or OW"
733,"(0014,3040)","DarkCurrentSequence","Dark Current Sequence","SQ"
734,"(0028,0702)","DataBlock","Data Block","AT"
735,"(0028,0701)","DataBlockDescription","Data Block Description","CS"
736,"(0018,9313)","DataCollectionCenterPatient","Data Collection Center (Patient)","FD"
737,"(0018,0090)","DataCollectionDiameter","Data Collection Diameter","DS"
738,"(0400,0020)","DataElementsSigned","Data Elements Signed","AT"
739,"(0028,1401)","DataFrameAssignmentSequence","Data Frame Assignment Sequence","SQ"
740,"(0054,0063)","DataInformationSequence","Data Information Sequence","SQ"
741,"(0024,0325)","DataObservationSequence","Data Observation Sequence","SQ"
742,"(0028,1402)","DataPathAssignment","Data Path Assignment","CS"
743,"(0028,140E)","DataPathID","Data Path ID","CS"
744,"(0028,9002)","DataPointColumns","Data Point Columns","UL"
745,"(0028,9001)","DataPointRows","Data Point Rows","UL"
746,"(0028,9108)","DataRepresentation","Data Representation","CS"
747,"(0024,0309)","DataSetDescription","Data Set Description","LO"
748,"(0024,0306)","DataSetName","Data Set Name","LO"
749,"(0024,0308)","DataSetSource","Data Set Source","LO"
750,"(0008,0041)","DataSetSubtype","Data Set Subtype","LO"
751,"(FFFC,FFFC)","DataSetTrailingPadding","Data Set Trailing Padding","OB"
752,"(0008,0040)","DataSetType","Data Set Type","US"
753,"(0024,0307)","DataSetVersion","Data Set Version","LO"
754,"(0018,9808)","DataType","Data Type","CS"
755,"(50xx,0103)","DataValueRepresentation","Data Value Representation","US"
756,"(0040,A121)","Date","Date","DA"
757,"(0040,A110)","DateOfDocumentOrVerbalTransactionTrial","Date of Document or Verbal Transaction (Trial)","DA"
758,"(0014,3076)","DateOfGainCalibration","Date of Gain Calibration","DA"
759,"(0018,1200)","DateOfLastCalibration","Date of Last Calibration","DA"
760,"(0018,700C)","DateOfLastDetectorCalibration","Date of Last Detector Calibration","DA"
761,"(0018,1012)","DateOfSecondaryCapture","Date of Secondary Capture","DA"
762,"(0040,A120)","DateTime","Date​Time","DT"
763,"(0018,9761)","DeadTimeCorrected","Dead Time Corrected","CS"
764,"(0054,1401)","DeadTimeCorrectionFlag","Dead Time Correction Flag","CS"
765,"(0054,1324)","DeadTimeFactor","Dead Time Factor","DS"
766,"(0018,9758)","DecayCorrected","Decay Corrected","CS"
767,"(0054,1102)","DecayCorrection","Decay Correction","CS"
768,"(0018,9701)","DecayCorrectionDateTime","Decay Correction DateTime","DT"
769,"(0054,1321)","DecayFactor","Decay Factor","DS"
770,"(0046,0238)","DecimalPotentialVisualAcuity","Decimal Potential Visual Acuity","FL"
771,"(0046,0137)","DecimalVisualAcuity","Decimal Visual Acuity","FD"
772,"(2020,00A2)","DecimateCropResult","Decimate/Crop Result","CS"
773,"(0018,9060)","DecoupledNucleus","De-coupled Nucleus","CS"
774,"(0018,9059)","Decoupling","De-coupling","CS"
775,"(0018,9063)","DecouplingChemicalShiftReference","De-coupling Chemical Shift Reference","FD"
776,"(0018,9061)","DecouplingFrequency","De-coupling Frequency","FD"
777,"(0018,9062)","DecouplingMethod","De-coupling Method","CS"
778,"(2010,00A6)","DefaultMagnificationType","Default Magnification Type","CS"
779,"(2010,0054)","DefaultPrinterResolutionID","Default Printer Resolution ID","CS"
780,"(2010,00A8)","DefaultSmoothingType","Default Smoothing Type","CS"
781,"(0064,0005)","DeformableRegistrationGridSequence","Deformable Registration Grid Sequence","SQ"
782,"(0064,0002)","DeformableRegistrationSequence","Deformable Registration Sequence","SQ"
783,"(0022,000E)","DegreeOfDilation","Degree of Dilation","FL"
784,"(0068,6410)","DegreeOfFreedomID","Degree of Freedom ID","US"
785,"(0068,6420)","DegreeOfFreedomType","Degree of Freedom Type","CS"
786,"(0012,0063)","DeidentificationMethod","De-identification Method","LO"
787,"(0012,0064)","DeidentificationMethodCodeSequence","De-identification Method Code Sequence","SQ"
788,"(0014,405C)","DelayLawIdentifier","Delay Law Identifier","ST"
789,"(0074,1230)","DeletionLock","Deletion Lock","LO"
790,"(3008,0134)","DeliveredChannelTotalTime","Delivered Channel Total Time","DS"
791,"(3008,0044)","DeliveredMeterset","Delivered Meterset","DS"
792,"(3008,0138)","DeliveredNumberOfPulses","Delivered Number of Pulses","IS"
793,"(3008,0036)","DeliveredPrimaryMeterset","Delivered Primary Meterset","DS"
794,"(3008,013C)","DeliveredPulseRepetitionInterval","Delivered Pulse Repetition Interval","DS"
795,"(3008,0037)","DeliveredSecondaryMeterset","Delivered Secondary Meterset","DS"
796,"(3008,003B)","DeliveredTreatmentTime","Delivered Treatment Time","DS"
797,"(300A,0023)","DeliveryMaximumDose","Delivery Maximum Dose","DS"
798,"(0074,1030)","DeliveryVerificationImageSequence","Delivery Verification Image Sequence","SQ"
799,"(300A,0022)","DeliveryWarningDose","Delivery Warning Dose","DS"
800,"(4010,1018)","Density","Density","FL"
801,"(0018,5050)","DepthOfScanField","Depth of Scan Field","IS"
802,"(0022,0041)","DepthOfTransverseImage","Depth of Transverse Image","FL"
803,"(0022,0035)","DepthSpatialResolution","Depth Spatial Resolution","FL"
804,"(0018,9801)","DepthsOfFocus","Depth(s) of Focus","FD"
805,"(0008,9215)","DerivationCodeSequence","Derivation Code Sequence","SQ"
806,"(0008,2111)","DerivationDescription","Derivation Description","ST"
807,"(0008,9124)","DerivationImageSequence","Derivation Image Sequence","SQ"
808,"(0076,000E)","DerivationImplantAssemblyTemplateSequence","Derivation Implant Assembly Template Sequence","SQ"
809,"(0068,6224)","DerivationImplantTemplateSequence","Derivation Implant Template Sequence","SQ"
810,"(2100,0140)","DestinationAE","Destination AE","AE"
811,"(0028,0404)","DetailsOfCoefficients","Details of Coefficients","AT"
812,"(0018,7016)","DetectorActivationOffsetFromExposure","Detector Activation Offset From Exposure","DS"
813,"(0018,7026)","DetectorActiveDimensions","Detector Active Dimension(s)","DS"
814,"(0018,7028)","DetectorActiveOrigin","Detector Active Origin","DS"
815,"(0018,7024)","DetectorActiveShape","Detector Active Shape","CS"
816,"(0018,7014)","DetectorActiveTime","Detector Active Time","DS"
817,"(0018,701A)","DetectorBinning","Detector Binning","DS"
818,"(4010,106C)","DetectorCalibrationData","Detector Calibration Data","OB"
819,"(0018,7000)","DetectorConditionsNominalFlag","Detector Conditions Nominal Flag","CS"
820,"(0018,7005)","DetectorConfiguration","Detector Configuration","CS"
821,"(0018,7006)","DetectorDescription","Detector Description","LT"
822,"(0018,7020)","DetectorElementPhysicalSize","Detector Element Physical Size","DS"
823,"(0054,1203)","DetectorElementSize","Detector Element Size","DS"
824,"(0018,7022)","DetectorElementSpacing","Detector Element Spacing","DS"
825,"(0018,9725)","DetectorGeometry","Detector Geometry","CS"
826,"(4010,0004)","DetectorGeometrySequence","Detector Geometry Sequence","SQ"
827,"(0018,700A)","DetectorID","Detector ID","SH"
828,"(0054,0022)","DetectorInformationSequence","Detector Information Sequence","SQ"
829,"(0054,1104)","DetectorLinesOfResponseUsed","Detector Lines of Response Used","LO"
830,"(0018,702B)","DetectorManufacturerModelName","Detector Manufacturer's Model Name","LO"
831,"(0018,702A)","DetectorManufacturerName","Detector Manufacturer Name","LO"
832,"(0018,7008)","DetectorMode","Detector Mode","LT"
833,"(0018,9768)","DetectorNormalizationCorrection","Detector Normalization Correction","CS"
834,"(0018,1530)","DetectorPrimaryAngle","Detector Primary Angle","DS"
835,"(0018,1531)","DetectorSecondaryAngle","Detector Secondary Angle","DS"
836,"(0018,7001)","DetectorTemperature","Detector Temperature","DS"
837,"(0014,3020)","DetectorTemperatureSequence","Detector Temperature Sequence","SQ"
838,"(0018,7012)","DetectorTimeSinceLastExposure","Detector Time Since Last Exposure","DS"
839,"(0018,7004)","DetectorType","Detector Type","CS"
840,"(0054,0020)","DetectorVector","Detector Vector","US"
841,"(0018,1413)","DeviationIndex","Deviation Index","DS"
842,"(0050,0020)","DeviceDescription","Device Description","LO"
843,"(0050,0016)","DeviceDiameter","Device Diameter","DS"
844,"(0050,0017)","DeviceDiameterUnits","Device Diameter Units","CS"
845,"(0018,1003)","DeviceID","Device ID","LO"
846,"(0050,0014)","DeviceLength","Device Length","DS"
847,"(0050,0010)","DeviceSequence","Device Sequence","SQ"
848,"(0018,1000)","DeviceSerialNumber","Device Serial Number","LO"
849,"(0018,1002)","DeviceUID","Device UID","UI"
850,"(0050,0018)","DeviceVolume","Device Volume","DS"
851,"(0070,0262)","DiameterOfVisibility","Diameter of Visibility","FL"
852,"(3002,0034)","DiaphragmPosition","Diaphragm Position","DS"
853,"(0018,9147)","DiffusionAnisotropyType","Diffusion Anisotropy Type","CS"
854,"(0018,9601)","DiffusionBMatrixSequence","Diffusion b-matrix Sequence","SQ"
855,"(0018,9087)","DiffusionBValue","Diffusion b-value","FD"
856,"(0018,9602)","DiffusionBValueXX","Diffusion b-value XX","FD"
857,"(0018,9603)","DiffusionBValueXY","Diffusion b-value XY","FD"
858,"(0018,9604)","DiffusionBValueXZ","Diffusion b-value XZ","FD"
859,"(0018,9605)","DiffusionBValueYY","Diffusion b-value YY","FD"
860,"(0018,9606)","DiffusionBValueYZ","Diffusion b-value YZ","FD"
861,"(0018,9607)","DiffusionBValueZZ","Diffusion b-value ZZ","FD"
862,"(0018,9075)","DiffusionDirectionality","Diffusion Directionality","CS"
863,"(0018,9076)","DiffusionGradientDirectionSequence","Diffusion Gradient Direction Sequence","SQ"
864,"(0018,9089)","DiffusionGradientOrientation","Diffusion Gradient Orientation","FD"
865,"(0018,1023)","DigitalImageFormatAcquired","Digital Image Format Acquired","LO"
866,"(0400,0105)","DigitalSignatureDateTime","Digital Signature DateTime","DT"
867,"(0400,0401)","DigitalSignaturePurposeCodeSequence","Digital Signature Purpose Code Sequence","SQ"
868,"(0400,0100)","DigitalSignatureUID","Digital Signature UID","UI"
869,"(FFFA,FFFA)","DigitalSignaturesSequence","Digital Signatures Sequence","SQ"
870,"(0018,2020)","DigitizingDeviceTransportDirection","Digitizing Device Transport Direction","CS"
871,"(0020,9421)","DimensionDescriptionLabel","Dimension Description Label","LO"
872,"(0020,9165)","DimensionIndexPointer","Dimension Index Pointer","AT"
873,"(0020,9213)","DimensionIndexPrivateCreator","Dimension Index Private Creator","LO"
874,"(0020,9222)","DimensionIndexSequence","Dimension Index Sequence","SQ"
875,"(0020,9157)","DimensionIndexValues","Dimension Index Values","UL"
876,"(0020,9221)","DimensionOrganizationSequence","Dimension Organization Sequence","SQ"
877,"(0020,9311)","DimensionOrganizationType","Dimension Organization Type","CS"
878,"(0020,9164)","DimensionOrganizationUID","Dimension Organization UID","UI"
879,"(0038,0030)","DischargeDate","Discharge Date","DA"
880,"(0038,0044)","DischargeDiagnosisCodeSequence","Discharge Diagnosis Code Sequence","SQ"
881,"(0038,0040)","DischargeDiagnosisDescription","Discharge Diagnosis Description","LO"
882,"(0038,0032)","DischargeTime","Discharge Time","TM"
883,"(0072,0108)","DisplayEnvironmentSpatialPosition","Display Environment Spatial Position","FD"
884,"(0028,9411)","DisplayFilterPercentage","Display Filter Percentage","FL"
885,"(0072,0717)","DisplaySetHorizontalJustification","Display Set Horizontal Justification","CS"
886,"(0072,0203)","DisplaySetLabel","Display Set Label","LO"
887,"(0072,0202)","DisplaySetNumber","Display Set Number","US"
888,"(0072,0700)","DisplaySetPatientOrientation","Display Set Patient Orientation","CS"
889,"(0072,0204)","DisplaySetPresentationGroup","Display Set Presentation Group","US"
890,"(0072,0206)","DisplaySetPresentationGroupDescription","Display Set Presentation Group Description","LO"
891,"(0072,0212)","DisplaySetScrollingGroup","Display Set Scrolling Group","US"
892,"(0072,0718)","DisplaySetVerticalJustification","Display Set Vertical Justification","CS"
893,"(0072,0200)","DisplaySetsSequence","Display Sets Sequence","SQ"
894,"(003A,0246)","DisplayShadingFlag","Display Shading Flag","CS"
895,"(0018,2006)","DisplayWindowLabelVector","Display Window Label Vector","SH"
896,"(0070,0053)","DisplayedAreaBottomRightHandCorner","Displayed Area Bottom Right Hand Corner","SL"
897,"(0070,0051)","DisplayedAreaBottomRightHandCornerTrial","Displayed Area Bottom Right Hand Corner (Trial)","US"
898,"(0070,005A)","DisplayedAreaSelectionSequence","Displayed Area Selection Sequence","SQ"
899,"(0070,0052)","DisplayedAreaTopLeftHandCorner","Displayed Area Top Left Hand Corner","SL"
900,"(0070,0050)","DisplayedAreaTopLeftHandCornerTrial","Displayed Area Top Left Hand Corner (Trial)","US"
901,"(0018,2046)","DisplayedZValue","Displayed Z Value","FL"
902,"(0048,0014)","DistanceBetweenFocalPlanes","Distance Between Focal Planes","FL"
903,"(0018,9403)","DistanceObjectToTableTop","Distance Object to Table Top","FL"
904,"(0046,0060)","DistancePupillaryDistance","Distance Pupillary Distance","FD"
905,"(0018,9426)","DistanceReceptorPlaneToDetectorHousing","Distance Receptor Plane to Detector Housing","FL"
906,"(0018,9335)","DistanceSourceToDataCollectionCenter","Distance Source to Data Collection Center","FD"
907,"(0018,1110)","DistanceSourceToDetector","Distance Source to Detector","DS"
908,"(0040,0306)","DistanceSourceToEntrance","Distance Source to Entrance","DS"
909,"(0018,9402)","DistanceSourceToIsocenter","Distance Source to Isocenter","FL"
910,"(0018,1111)","DistanceSourceToPatient","Distance Source to Patient","DS"
911,"(0040,0307)","DistanceSourceToSupport","Distance Source to Support","DS"
912,"(4008,011A)","DistributionAddress","Distribution Address","LO"
913,"(4008,0119)","DistributionName","Distribution Name","PN"
914,"(0012,0084)","DistributionType","Distribution Type","CS"
915,"(0040,A068)","DocumentAuthorIdentifierCodeSequenceTrial","Document Author Identifier Code Sequence (Trial)","SQ"
916,"(0040,A067)","DocumentAuthorTrial","Document Author (Trial)","PN"
917,"(0040,E008)","DocumentClassCodeSequence","Document Class Code Sequence","SQ"
918,"(0040,A066)","DocumentIdentifierCodeSequenceTrial","Document Identifier Code Sequence (Trial)","SQ"
919,"(0042,0010)","DocumentTitle","Document Title","ST"
920,"(0040,A076)","DocumentingObserverIdentifierCodeSequenceTrial","Documenting Observer Identifier Code Sequence (Trial)","SQ"
921,"(0040,A028)","DocumentingOrganizationIdentifierCodeSequenceTrial","Documenting Organization Identifier Code Sequence (Trial)","SQ"
922,"(0018,6034)","DopplerCorrectionAngle","Doppler Correction Angle","FD"
923,"(0018,6039)","DopplerSampleVolumeXPosition","Doppler Sample Volume X Position","SL"
924,"(0018,6038)","DopplerSampleVolumeXPositionRetired","Doppler Sample Volume X Position (Retired)","UL"
925,"(0018,603B)","DopplerSampleVolumeYPosition","Doppler Sample Volume Y Position","SL"
926,"(0018,603A)","DopplerSampleVolumeYPositionRetired","Doppler Sample Volume Y Position (Retired)","UL"
927,"(0054,1322)","DoseCalibrationFactor","Dose Calibration Factor","DS"
928,"(3004,0006)","DoseComment","Dose Comment","LO"
929,"(3004,000E)","DoseGridScaling","Dose Grid Scaling","DS"
930,"(3008,0048)","DoseRateDelivered","Dose Rate Delivered","DS"
931,"(300A,0115)","DoseRateSet","Dose Rate Set","DS"
932,"(300A,0016)","DoseReferenceDescription","Dose Reference Description","LO"
933,"(300A,0012)","DoseReferenceNumber","Dose Reference Number","IS"
934,"(300A,0018)","DoseReferencePointCoordinates","Dose Reference Point Coordinates","DS"
935,"(300A,0010)","DoseReferenceSequence","Dose Reference Sequence","SQ"
936,"(300A,0014)","DoseReferenceStructureType","Dose Reference Structure Type","CS"
937,"(300A,0020)","DoseReferenceType","Dose Reference Type","CS"
938,"(300A,0013)","DoseReferenceUID","Dose Reference UID","UI"
939,"(3004,000A)","DoseSummationType","Dose Summation Type","CS"
940,"(3004,0004)","DoseType","Dose Type","CS"
941,"(3004,0002)","DoseUnits","Dose Units","CS"
942,"(3004,0012)","DoseValue","Dose Value","DS"
943,"(0074,133A)","DoubleExposureFieldDelta","Double Exposure Field Delta","FD"
944,"(0074,103A)","DoubleExposureFieldDeltaTrial","Double Exposure Field Delta (Trial)","DS"
945,"(0074,1034)","DoubleExposureFlag","Double Exposure Flag","CS"
946,"(0074,1338)","DoubleExposureMeterset","Double Exposure Meterset","FD"
947,"(0074,1038)","DoubleExposureMetersetTrial","Double Exposure Meterset (Trial)","DS"
948,"(0074,1036)","DoubleExposureOrdering","Double Exposure Ordering","CS"
949,"(0014,4083)","DriveProbeSequence","Drive Probe Sequence","SQ"
950,"(0014,4081)","DriveType","Drive Type","CS"
951,"(0018,5030)","DynamicRange","Dynamic Range","DS"
952,"(0018,0086)","EchoNumbers","Echo Number(s)","IS"
953,"(0018,9018)","EchoPlanarPulseSequence","Echo Planar Pulse Sequence","CS"
954,"(0018,9008)","EchoPulseSequence","Echo Pulse Sequence","CS"
955,"(0018,0081)","EchoTime","Echo Time","DS"
956,"(0018,0091)","EchoTrainLength","Echo Train Length","IS"
957,"(0066,0024)","EdgePointIndexList","Edge Point Index List","OW"
958,"(0068,6226)","EffectiveDateTime","Effective DateTime","DT"
959,"(0018,0072)","EffectiveDuration","Effective Duration","DS"
960,"(0018,9082)","EffectiveEchoTime","Effective Echo Time","FD"
961,"(0052,0004)","EffectiveRefractiveIndex","Effective Refractive Index","FD"
962,"(0014,4014)","ElementDimensionA","Element Dimension A","DS"
963,"(0014,4015)","ElementDimensionB","Element Dimension B","DS"
964,"(0014,4016)","ElementPitchA","Element Pitch A","DS"
965,"(0014,401D)","ElementPitchB","Element Pitch B","DS"
966,"(0014,4013)","ElementShape","Element Shape","CS"
967,"(0022,000A)","EmmetropicMagnification","Emmetropic Magnification","FL"
968,"(0072,0421)","EmptyImageBoxCIELabValue","Empty Image Box CIE​Lab Value","US"
969,"(2010,0110)","EmptyImageDensity","Empty Image Density","CS"
970,"(0042,0011)","EncapsulatedDocument","Encapsulated Document","OB"
971,"(0400,0500)","EncryptedAttributesSequence","Encrypted Attributes Sequence","SQ"
972,"(0400,0520)","EncryptedContent","Encrypted Content","OB"
973,"(0400,0510)","EncryptedContentTransferSyntaxUID","Encrypted Content Transfer Syntax UID","UI"
974,"(0018,9517)","EndAcquisitionDateTime","End Acquisition DateTime","DT"
975,"(300C,0009)","EndCumulativeMetersetWeight","End Cumulative Meterset Weight","DS"
976,"(3008,007A)","EndMeterset","End Meterset","DS"
977,"(0020,9248)","EndingRespiratoryAmplitude","Ending Respiratory Amplitude","FL"
978,"(0020,9249)","EndingRespiratoryPhase","Ending Respiratory Phase","CS"
979,"(0018,9353)","EnergyWeightingFactor","Energy Weighting Factor","FL"
980,"(0018,0032)","EnergyWindowCenterline","Energy Window Centerline","DS"
981,"(0054,0012)","EnergyWindowInformationSequence","Energy Window Information Sequence","SQ"
